ENDPOS3,0.5,Controller (right),161.9889,,,,,,,
ENDPOS2,0.875,Controller (right),165.0111,,,,,,,
ENDPOS4,0.5,Controller (right),167.2667,,,,,,,
ENDPOS2,0.75,Controller (right),172.0556,,,,,,,
ENDPOS1,1,Controller (right),174.8111,,,,,,,
ENDPOS2,0.625,Controller (right),177.0222,,,,,,,
ENDPOS2,0.75,Controller (right),181.4111,,,,,,,
ENDPOS4,0.5,Controller (right),185.9111,,,,,,,
ENDPOS2,0.75,Controller (right),188.5111,,,,,,,
ENDPOS2,1,Controller (right),192.0444,,,,,,,
ENDPOS5,0.875,Controller (right),195.3111,,,,,,,
ENDPOS1,0.625,Controller (right),198.4778,,,,,,,
ENDPOS4,0.5,Controller (right),201.1222,,,,,,,
ENDPOS3,0.5,Controller (right),205.0111,,,,,,,
ENDPOS5,0.5,ENDPOS1,208.2111,,,,,,,
ENDPOS5,0.75,Controller (right),213.3222,,,,,,,
ENDPOS5,0.5,Controller (right),215.4333,,,,,,,
ENDPOS1,1,Controller (right),220.0111,,,,,,,
ENDPOS3,0.75,Controller (right),223,,,,,,,
ENDPOS4,0.625,Controller (right),226.9778,,,,,,,
ENDPOS2,0.625,Controller (right),229.3889,,,,,,,
ENDPOS5,0.875,Controller (right),233.9667,,,,,,,
ENDPOS2,0.625,Controller (right),237.0222,,,,,,,
ENDPOS1,0.75,Controller (right),239.5111,,,,,,,
ENDPOS1,0.75,Controller (right),242.7667,,,,,,,
ENDPOS3,0.5,Controller (right),246.4778,,,,,,,
ENDPOS3,0.625,Controller (right),250.1,,,,,,,
ENDPOS5,1,Controller (right),253.9111,,,,,,,
ENDPOS5,1,Controller (right),258.2667,,,,,,,
ENDPOS4,1,Controller (right),260.9667,,,,,,,
ENDPOS5,0.625,Controller (right),264.5445,,,,,,,
ENDPOS4,0.875,Controller (right),267.6889,,,,,,,
ENDPOS2,0.875,Controller (right),272.5222,,,,,,,
ENDPOS4,0.625,Controller (right),276.2556,,,,,,,
ENDPOS1,0.875,Controller (right),279.5889,,,,,,,
ENDPOS2,0.75,Controller (right),282.9111,,,,,,,
ENDPOS3,0.75,Controller (right),287.5111,,,,,,,
ENDPOS2,1,Controller (right),290.3222,,,,,,,
ENDPOS3,0.625,Controller (right),294.6222,,,,,,,
ENDPOS1,0.5,Controller (right),296.9111,,,,,,,
ENDPOS2,1,Controller (right),300.2333,,,,,,,
ENDPOS3,0.875,Controller (right),304.1333,,,,,,,
ENDPOS3,0.75,Controller (right),306.1444,,,,,,,
ENDPOS4,0.75,Controller (right),310.6667,,,,,,,
ENDPOS1,0.625,Controller (right),312.5667,,,,,,,
ENDPOS3,0.5,ENDPOS3,316.6111,,,,,,,
ENDPOS2,0.875,Controller (right),319.2111,,,,,,,
